S3,S2,S1,S0,A,AM,D,DM,TD,T1,T2,T3,T4,T5,,SF3,SF2,SF1,SF0
0,0,0,0,0,0,x,x,x,x,x,x,x,x,,0,0,0,0
0,0,0,0,x,x,1,x,x,x,x,x,x,x,,0,0,0,0
0,0,0,0,x,x,x,1,x,x,x,x,x,x,,0,0,0,0
0,0,0,0,1,x,0,0,x,x,x,x,x,x,,0,0,0,1
0,0,0,0,x,1,0,0,x,x,x,x,x,x,,0,0,0,1
0,0,0,1,1,x,1,x,x,x,x,x,x,x,,0,0,0,1
0,0,0,1,x,1,1,x,x,x,x,x,x,x,,0,0,0,1
0,0,0,1,1,x,x,1,x,x,x,x,x,x,,0,0,0,1
0,0,0,1,x,1,x,1,x,x,x,x,x,x,,0,0,0,1
0,0,0,1,0,0,0,0,x,x,x,x,x,x,,0,0,0,1
0,0,0,1,1,1,1,1,x,x,x,x,x,x,,0,0,0,1
0,0,0,1,1,x,0,0,x,x,x,x,x,x,,0,0,1,0
0,0,0,1,x,1,0,0,x,x,x,x,x,x,,0,0,1,0
0,0,0,1,0,0,1,x,x,x,x,x,x,x,,0,0,1,0
0,0,0,1,0,0,x,1,x,x,x,x,x,x,,0,0,1,0
0,0,1,0,1,x,0,0,x,0,x,x,x,x,,0,0,1,0
0,0,1,0,x,1,0,0,x,0,x,x,x,x,,0,0,1,0
0,0,1,0,0,0,1,x,0,x,x,x,x,x,,0,0,1,0
0,0,1,0,0,0,x,1,0,x,x,x,x,x,,0,0,1,0
0,0,1,0,1,x,1,x,x,x,x,x,x,x,,0,0,0,1
0,0,1,0,1,x,x,1,x,x,x,x,x,x,,0,0,0,1
0,0,1,0,x,1,1,x,x,x,x,x,x,x,,0,0,0,1
0,0,1,0,x,1,x,1,x,x,x,x,x,x,,0,0,0,1
0,0,1,0,0,0,0,0,x,x,x,x,x,x,,0,0,0,1
0,0,1,0,1,1,1,1,x,x,x,x,x,x,,0,0,0,1
0,0,1,0,0,0,1,x,1,x,x,x,x,x,,0,0,0,0
0,0,1,0,0,0,x,1,1,x,x,x,x,x,,0,0,0,0
0,0,1,0,1,x,0,0,x,1,x,x,x,x,,0,0,1,1
0,0,1,0,x,1,0,0,x,1,x,x,x,x,,0,0,1,1
0,0,1,1,1,x,1,x,x,x,x,x,x,x,,0,0,1,1
0,0,1,1,x,1,1,x,x,x,x,x,x,x,,0,0,1,1
0,0,1,1,1,x,x,1,x,x,x,x,x,x,,0,0,1,1
0,0,1,1,x,1,x,1,x,x,x,x,x,x,,0,0,1,1
0,0,1,1,0,0,0,0,x,x,x,x,x,x,,0,0,1,1
0,0,1,1,1,1,1,1,x,x,x,x,x,x,,0,0,1,1
0,0,1,1,1,x,0,0,x,x,x,x,x,x,,0,1,0,0
0,0,1,1,x,1,0,0,x,x,x,x,x,x,,0,1,0,0
0,0,1,1,0,0,1,x,x,x,x,x,x,x,,0,1,0,0
0,0,1,1,0,0,x,1,x,x,x,x,x,x,,0,1,0,0
0,1,0,0,1,x,0,0,x,x,0,x,x,x,,0,1,0,0
0,1,0,0,x,1,0,0,x,x,0,x,x,x,,0,1,0,0
0,1,0,0,0,0,1,x,0,x,x,x,x,x,,0,1,0,0
0,1,0,0,0,0,x,1,0,x,x,x,x,x,,0,1,0,0
0,1,0,0,1,x,1,x,x,x,x,x,x,x,,0,0,1,1
0,1,0,0,1,x,x,1,x,x,x,x,x,x,,0,0,1,1
0,1,0,0,x,1,1,x,x,x,x,x,x,x,,0,0,1,1
0,1,0,0,x,1,x,1,x,x,x,x,x,x,,0,0,1,1
0,1,0,0,0,0,0,0,x,x,x,x,x,x,,0,0,1,1
0,1,0,0,1,1,1,1,x,x,x,x,x,x,,0,0,1,1
0,1,0,0,0,0,1,x,1,x,x,x,x,x,,0,0,0,1
0,1,0,0,0,0,x,1,1,x,x,x,x,x,,0,0,0,1
0,1,0,0,1,x,0,0,x,x,1,x,x,x,,0,1,0,1
0,1,0,0,x,1,0,0,x,x,1,x,x,x,,0,1,0,1
0,1,0,1,1,x,1,x,x,x,x,x,x,x,,0,1,0,1
0,1,0,1,x,1,1,x,x,x,x,x,x,x,,0,1,0,1
0,1,0,1,1,x,x,1,x,x,x,x,x,x,,0,1,0,1
0,1,0,1,x,1,x,1,x,x,x,x,x,x,,0,1,0,1
0,1,0,1,0,0,0,0,x,x,x,x,x,x,,0,1,0,1
0,1,0,1,1,1,1,1,x,x,x,x,x,x,,0,1,0,1
0,1,0,1,1,x,0,0,x,x,x,x,x,x,,0,1,1,0
0,1,0,1,x,1,0,0,x,x,x,x,x,x,,0,1,1,0
0,1,0,1,0,0,1,x,x,x,x,x,x,x,,0,1,1,0
0,1,0,1,0,0,x,1,x,x,x,x,x,x,,0,1,1,0
0,1,1,0,1,x,0,0,x,x,x,0,x,x,,0,1,1,0
0,1,1,0,x,1,0,0,x,x,x,0,x,x,,0,1,1,0
0,1,1,0,0,0,1,x,0,x,x,x,x,x,,0,1,1,0
0,1,1,0,0,0,x,1,0,x,x,x,x,x,,0,1,1,0
0,1,1,0,1,x,1,x,x,x,x,x,x,x,,0,1,0,1
0,1,1,0,1,x,x,1,x,x,x,x,x,x,,0,1,0,1
0,1,1,0,x,1,1,x,x,x,x,x,x,x,,0,1,0,1
0,1,1,0,x,1,x,1,x,x,x,x,x,x,,0,1,0,1
0,1,1,0,0,0,0,0,x,x,x,x,x,x,,0,1,0,1
0,1,1,0,1,1,1,1,x,x,x,x,x,x,,0,1,0,1
0,1,1,0,0,0,1,x,1,x,x,x,x,x,,0,0,1,1
0,1,1,0,0,0,x,1,1,x,x,x,x,x,,0,0,1,1
0,1,1,0,1,x,0,0,x,x,x,1,x,x,,0,1,1,1
0,1,1,0,x,1,0,0,x,x,x,1,x,x,,0,1,1,1
0,1,1,1,1,x,1,x,x,x,x,x,x,x,,0,1,1,1
0,1,1,1,x,1,1,x,x,x,x,x,x,x,,0,1,1,1
0,1,1,1,1,x,x,1,x,x,x,x,x,x,,0,1,1,1
0,1,1,1,x,1,x,1,x,x,x,x,x,x,,0,1,1,1
0,1,1,1,0,0,0,0,x,x,x,x,x,x,,0,1,1,1
0,1,1,1,1,1,1,1,x,x,x,x,x,x,,0,1,1,1
0,1,1,1,1,x,0,0,x,x,x,x,x,x,,1,0,0,0
0,1,1,1,x,1,0,0,x,x,x,x,x,x,,1,0,0,0
0,1,1,1,0,0,1,x,x,x,x,x,x,x,,1,0,0,0
0,1,1,1,0,0,x,1,x,x,x,x,x,x,,1,0,0,0
1,0,0,0,1,x,0,0,x,x,x,x,0,x,,1,0,0,0
1,0,0,0,x,1,0,0,x,x,x,x,0,x,,1,0,0,0
